prov_id,year,track,score,rank,cum_count,source,fetched_at
henan,2025,phy,645,10445,456,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,644,10886,441,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,643,11370,484,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,642,11842,472,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,641,12353,511,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,640,12870,517,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,639,13404,534,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,638,13941,537,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,637,14500,559,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,636,15066,566,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,635,15727,661,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,634,16357,630,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,633,16998,641,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,632,17632,634,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,631,18242,610,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,630,18923,681,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,629,19599,676,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,628,20262,663,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,627,20939,677,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,626,21686,747,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,625,22450,764,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,624,23204,754,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,623,23980,776,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,622,24764,784,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,621,25611,847,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,620,26385,774,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,619,27239,854,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,618,28088,849,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,617,28989,901,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,616,29930,941,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,615,30812,882,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,614,31705,893,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,613,32607,902,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,612,33569,962,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,611,34569,1000,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,610,35524,955,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,609,36486,962,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,608,37473,987,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,607,38498,1025,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,606,39518,1020,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,605,40609,1091,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,604,41663,1054,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,603,42712,1049,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,602,43771,1059,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,601,44843,1072,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,600,45887,1044,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
